,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Stable ID,Threat (paraphrased),Threat (verbatim),Pro-dem Mitigation (paraphrased),Pro-dem Mitigation (verbatim),Pro-dem Opportunity (paraphrased),Pro-dem Opportunity (verbatim),Source,Note,Democracy Aspect  1,Democracy Aspect  2,Democracy Aspect  3,Democracy Aspect  4,Democracy Aspect  5,Democracy Aspect  6,More than 4 Democracy Codes ,,,,
99,///,///,///,///,"Social choice analysis can help evaluate the extent to which current machine learning paradigms are already implicitly democratic or undemocratic, generating accountability insights","""social choice analysis can help us understand the extent to which the current machine learning paradigms may already be implicitly democratic or undemocratic""","Ovadya, A., Redman, K., Thorburn, L., Chen, Q.Z., Smith, O., Devine, F., Konya, A., Milli, S., Revel, M., Feng, K.J.K., Zhang, A.X., Chandra, B., Bakker, M.A. and Kasirzadeh, A. (2024/2025). Democratic AI is Possible. The Democracy Levels Framework Shows How It Might Work. Position paper presented at ICML 2025. arXiv:2411.09222. Available at: https://arxiv.org/abs/2411.09222",checked,2.3 PRIMARY Effective and Accountable Government,,,,,,no,,,,
100,///,///,///,///,Rigorous domain-specific metrics and evaluation frameworks are needed to assess the democratic quality of AI-enabled democratic systems,"""research is needed to develop domain-specific metrics and evaluation frameworks""","Ovadya, A., Redman, K., Thorburn, L., Chen, Q.Z., Smith, O., Devine, F., Konya, A., Milli, S., Revel, M., Feng, K.J.K., Zhang, A.X., Chandra, B., Bakker, M.A. and Kasirzadeh, A. (2024/2025). Democratic AI is Possible. The Democracy Levels Framework Shows How It Might Work. Position paper presented at ICML 2025. arXiv:2411.09222. Available at: https://arxiv.org/abs/2411.09222",checked,2.3 PRIMARY Effective and Accountable Government,,,,,,no,,,,
101,///,///,///,///,"Democratic processes applied to AI governance can signal benign intent, demonstrate Pareto optimality, surface common ground, and provide stability — relatively advantaging good actors over bad in AI race dynamics","""democratic processes may help signal benign intent, demonstrate Pareto optimality, surface common ground, institutionalize conflict, provide stability by guarantees on process, and be a source of accountability by showing a difference between public will and unilateral actions""","Ovadya, A., Redman, K., Thorburn, L., Chen, Q.Z., Smith, O., Devine, F., Konya, A., Milli, S., Revel, M., Feng, K.J.K., Zhang, A.X., Chandra, B., Bakker, M.A. and Kasirzadeh, A. (2024/2025). Democratic AI is Possible. The Democracy Levels Framework Shows How It Might Work. Position paper presented at ICML 2025. arXiv:2411.09222. Available at: https://arxiv.org/abs/2411.09222",checked,2.3 PRIMARY Effective and Accountable Government,4.1 SECONDARY External Influences on the Country's Democracy,,,,,no,,,,
102,Concentration of power in AI systems and the entities that control them risks unprecedented and undemocratic accumulation of power,"""AI systems and those that control them may accrue unprecedented power. Who should wield that power? How should it be wielded?""",///,///,///,///,"Ovadya, A., Redman, K., Thorburn, L., Chen, Q.Z., Smith, O., Devine, F., Konya, A., Milli, S., Revel, M., Feng, K.J.K., Zhang, A.X., Chandra, B., Bakker, M.A. and Kasirzadeh, A. (2024/2025). Democratic AI is Possible. The Democracy Levels Framework Shows How It Might Work. Position paper presented at ICML 2025. arXiv:2411.09222. Available at: https://arxiv.org/abs/2411.09222",checked,2.8 PRIMARY Illegitimate Influence over Policy-Making,1.4 SECONDARY Economic and Social Rights,1.1 SECONDARY Nationhood and Citizenship,,,,no,,,,
103,Governance decisions made by AI regulators that significantly alter societal norms or socioeconomic conditions are currently made without democratic input.,"""Governance decisions made by AI regulators that significantly alter societal norms or socioeconomic conditions (e.g., guardrails/limits on human-AI relationships; whether/how AI agents can be legal persons; whether/how AI agents can participate in the economy; whether/how AI agents can replace human workers)""","Where AI regulatory decisions involve externalities, affect people who cannot opt out, and have sufficiently substantive impacts, there is a stronger moral case for devolving decision-making power from unilateral authorities to a democratic process or system.","""we think there is a stronger moral case for a unilateral authority to devolve decision-making power to a democratic process or system when (a) the decision involves externalities…(b) those impacted by the decision cannot easily or reasonably opt out…and (c) the impacts of the decisions are substantive enough""",///,///,"Ovadya, A., Redman, K., Thorburn, L., Chen, Q.Z., Smith, O., Devine, F., Konya, A., Milli, S., Revel, M., Feng, K.J.K., Zhang, A.X., Chandra, B., Bakker, M.A. and Kasirzadeh, A. (2024/2025). Democratic AI is Possible. The Democracy Levels Framework Shows How It Might Work. Position paper presented at ICML 2025. arXiv:2411.09222. Available at: https://arxiv.org/abs/2411.09222",checked,2.3 PRIMARY Effective and Accountable Government,2.8 SECONDARY Illegitimate Influence over Policy-Making,1.4 SECONDARY Economic and Social Rights,3.2 SECONDARY Opinion Formation and Political Participation,,,no,,,,
104,Development and deployment decisions made by AI organisations that impact large user bases or pose significant systemic risks are currently made unilaterally.,"""Development and deployment decisions made by AI organizations that impact large user bases, have significant cascading impacts, pose significant systemic/societal risks, or significantly accelerate or shift societal trajectories""","Where AI regulatory decisions involve externalities, affect people who cannot opt out, and have sufficiently substantive impacts, there is a stronger moral case for devolving decision-making power from unilateral authorities to a democratic process or system.","""we think there is a stronger moral case for a unilateral authority to devolve decision-making power to a democratic process or system when (a) the decision involves externalities…(b) those impacted by the decision cannot easily or reasonably opt out…and (c) the impacts of the decisions are substantive enough""",///,///,"Ovadya, A., Redman, K., Thorburn, L., Chen, Q.Z., Smith, O., Devine, F., Konya, A., Milli, S., Revel, M., Feng, K.J.K., Zhang, A.X., Chandra, B., Bakker, M.A. and Kasirzadeh, A. (2024/2025). Democratic AI is Possible. The Democracy Levels Framework Shows How It Might Work. Position paper presented at ICML 2025. arXiv:2411.09222. Available at: https://arxiv.org/abs/2411.09222",checked,2.8 PRIMARY Illegitimate Influence over Policy-Making,2.3 SECONDARY Effective and Accountable Government,1.4 SECONDARY Economic and Social Rights,,,,no,,,,
105,///,///,///,///,"AI tools can improve democratic processes themselves — mediating deliberation, finding common ground, synthesising diverse viewpoints, and promoting constructive disagreement.","""Advancements in AI may also help improve many kinds of democratic processes and systems, with recent studies demonstrating their potential to mediate human deliberation and find common ground…AI systems have also been used to synthesize diverse viewpoints within large populations whilst maintaining cultural and contextual nuances…and promote constructive disagreement""","Ovadya, A., Redman, K., Thorburn, L., Chen, Q.Z., Smith, O., Devine, F., Konya, A., Milli, S., Revel, M., Feng, K.J.K., Zhang, A.X., Chandra, B., Bakker, M.A. and Kasirzadeh, A. (2024/2025). Democratic AI is Possible. The Democracy Levels Framework Shows How It Might Work. Position paper presented at ICML 2025. arXiv:2411.09222. Available at: https://arxiv.org/abs/2411.09222",checked,3.2 PRIMARY Opinion Formation and Political Participation,2.3 SECONDARY Effective and Accountable Government,,,,,no,,,,
106,///,///,///,///,"Both ""democracy for AI"" and ""AI for democracy"" approaches would benefit from further research on integration into existing governance and technical structures","""Both approaches—'democracy for AI' and 'AI for democracy'—would benefit from further research on integration into existing governance and technical structures and processes""","Ovadya, A., Redman, K., Thorburn, L., Chen, Q.Z., Smith, O., Devine, F., Konya, A., Milli, S., Revel, M., Feng, K.J.K., Zhang, A.X., Chandra, B., Bakker, M.A. and Kasirzadeh, A. (2024/2025). Democratic AI is Possible. The Democracy Levels Framework Shows How It Might Work. Position paper presented at ICML 2025. arXiv:2411.09222. Available at: https://arxiv.org/abs/2411.09222",checked,2.3 PRIMARY Effective and Accountable Government,3.2 SECONDARY Opinion Formation and Political Participation,,,,,no,,,,
107,Democratic processes may slow AI development and reduce the competitive position of democratic nations relative to non-democratic ones. [Presented as objection; rebutted by authors.],"""the use of democratic processes will stymie AI progress and development, and might reduce the capabilities of democratic nations compared to their non-democratic counterparts, negatively impacting valuable innovation and the relative power of democratic nations""",Investment in democratic innovation can create conditions that accelerate pro-democratic AI development rather than hinder it - to keep up with autocratic AI development.,"""Democratic systems can be very slow and ineffective, but that is not inevitable, especially with sufficient investment in democratic innovation…High-quality decision-making and regulation from improved democratic processes may even create conditions that accelerate innovation""",///,///,"Ovadya, A., Redman, K., Thorburn, L., Chen, Q.Z., Smith, O., Devine, F., Konya, A., Milli, S., Revel, M., Feng, K.J.K., Zhang, A.X., Chandra, B., Bakker, M.A. and Kasirzadeh, A. (2024/2025). Democratic AI is Possible. The Democracy Levels Framework Shows How It Might Work. Position paper presented at ICML 2025. arXiv:2411.09222. Available at: https://arxiv.org/abs/2411.09222",checked,4.1 PRIMARY External Influences on the Country's Democracy,2.3 SECONDARY Effective and Accountable Government,4.2 SECONDARY The Country's Democratic Impact Abroad ,,,,no,,,,
108,AI systems playing significant roles in utility-scale infrastructure make decisions without society-in-the-loop oversight.,"""Decisions made by AI systems for which there should be 'society-in-the-loop'…decisions made by AI systems that play significant roles in the functioning of utility-scale infrastructure""","Where AI regulatory decisions involve externalities, affect people who cannot opt out, and have sufficiently substantive impacts, there is a stronger moral case for devolving decision-making power from unilateral authorities to a democratic process or system.","""we think there is a stronger moral case for a unilateral authority to devolve decision-making power to a democratic process or system when (a) the decision involves externalities…(b) those impacted by the decision cannot easily or reasonably opt out…and (c) the impacts of the decisions are substantive enough""",///,///,"Ovadya, A., Redman, K., Thorburn, L., Chen, Q.Z., Smith, O., Devine, F., Konya, A., Milli, S., Revel, M., Feng, K.J.K., Zhang, A.X., Chandra, B., Bakker, M.A. and Kasirzadeh, A. (2024/2025). Democratic AI is Possible. The Democracy Levels Framework Shows How It Might Work. Position paper presented at ICML 2025. arXiv:2411.09222. Available at: https://arxiv.org/abs/2411.09222",checked,2.3 PRIMARY Effective and Accountable Government,2.8 SECONDARY Illegitimate Influence over Policy-Making,,,,,no,,,,
109,"Profit-maximising AI corporations increasingly dominate the economy, leaving more people outside both democratic and economic feedback loops.","""broad-based societal benefits seem especially unlikely if profit-maximizing AI-first corporations continue to increasingly dominate the economy, leaving more and more people outside of both democratic and economic feedback loops""",Democratic processes provide a means to hold corporations accountable to stakeholder impacts beyond shareholder maximisation.,"""Stakeholder Theory aims to address some of these gaps by encouraging corporations to take into account stakeholder impacts—and democratic processes are precisely a means for implementation""",///,///,"Ovadya, A., Redman, K., Thorburn, L., Chen, Q.Z., Smith, O., Devine, F., Konya, A., Milli, S., Revel, M., Feng, K.J.K., Zhang, A.X., Chandra, B., Bakker, M.A. and Kasirzadeh, A. (2024/2025). Democratic AI is Possible. The Democracy Levels Framework Shows How It Might Work. Position paper presented at ICML 2025. arXiv:2411.09222. Available at: https://arxiv.org/abs/2411.09222",checked,1.4 PRIMARY Economic and Social Rights,2.8 SECONDARY Illegitimate Influence over Policy-Making,2.3 SECONDARY Effective and Accountable Government ,1.1 SECONDARY Nationhood and Citizenship,,,no,,,,
110,"Jailbreaking techniques to bypass AI safety guardrails. Threat actors continuously refine methods to circumvent ethical restrictions in public AI systems, enabling misuse at scale.","""Threat actors are continuously refining AI jailbreaking techniques to bypass security restrictions in public AI systems.""",Invest in red-teaming and evaluation tools to test GenAI applications against adversarial jailbreak and prompt injection attacks.,"""To tackle jailbreaks and prompt injection attacks, organizations must evaluate the performance, security, and reliability of GenAI applications.""",///,///,KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA%20Report%20-%202025%20AI%20Threat%20Report.pdf,checked,3.2 PRIMARY Opinion Formation and Political Participation -- Bypassed guardrails enable disinformation and propaganda content manipulating public opinion. P4Dem inference,2.1 SECONDARY Free and Fair Elections -- Jailbroken AI can generate election disinformation at scale. P4Dem inference,4.1 SECONDARY External Influences on the Country's Democracy -- State-sponsored actors exploit jailbreaks for foreign influence operations (p. 20).,1.3 SECONDARY Civil and Political Rights -- Enables harassment and censorship-evasion content targeting activists. P4Dem inference,,,no,,,,
111,"Proliferation of dark AI tools (WormGPT, FraudGPT, etc.). Purpose-built malicious AI tools distributed on cybercrime forums lower barriers to cyberattack, creating an AI-as-a-Service criminal economy.","""There was an increase of 200% in the mentions of malicious AI tools in cybercrime forums compared to 2023.""",Monitor the evolving tactics of cybercriminals exploiting AI tools through active intelligence platforms.,"""Monitor the evolving tactics and techniques employed by cybercriminals to exploit AI tools.""",///,///,KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA%20Report%20-%202025%20AI%20Threat%20Report.pdf,checked,1.2 PRIMARYRule of Law and Access to JusticeCriminal AI tools undermine law enforcement capacity and legal accountability. P4Dem inference,2.3 SECONDARYEffective and Accountable GovernmentPublic infrastructure becomes target for low-barrier AI-assisted attacks. P4Dem inference,4.1 SECONDARYExternal Influences on the Country's DemocracyState actors use or benefit from dark AI tool ecosystem (p. 20). P4Dem inference,,,,no,,,,
112,"AI-enhanced phishing and social engineering. AI tools reduce phishing costs by over 95% while matching or exceeding human-crafted success rates, enabling mass-scale social engineering campaigns.","""AI automated phishing attacks reduce the costs of phishing attacks by more than 95% while achieving equal or greater success rates.""",Implement employee training and awareness programmes on AI-driven phishing and social engineering threats.,"""Implement employee education and training procedures — Educate and simulate scenarios for employees to raise awareness of fraud and phishing scams.""",///,///,KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA%20Report%20-%202025%20AI%20Threat%20Report.pdf,checked,"2.3 PRIMARYEffective and Accountable GovernmentAI phishing can infiltrate state institutions, compromising governance integrity. P4Dem inference","1.3 SECONDARYCivil and Political RightsTargeted phishing compromises accounts of activists, journalists, and civil society actors. P4Dem inference",,,,,no,,,,
113,"AI deepfake audio and video tools enable convincing impersonation of executives and trusted individuals, facilitating financial fraud","""AI-driven phishing campaigns are becoming more sophisticated: AI-generated phishing and social engineering tactics have increased in effectiveness, with deepfake technologies being used to impersonate executives and trick employees into executing fraudulent transactions.""",Deploy AI-powered detection solutions to identify and block deepfake impersonation attempts.,"""To stay ahead of emerging AI-driven threats… organizations should integrate AI-based cybersecurity solutions.""",///,///,KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA%20Report%20-%202025%20AI%20Threat%20Report.pdf,checked,2.1 PRIMARYFree and Fair ElectionsDeepfake impersonation of candidates or officials distorts the electoral information environment. P4Dem inference,3.2 SECONDARYOpinion Formation and Political ParticipationDeepfake audio/video undermines authenticity of political communication and public trust. P4Dem inference,3.1 SECONDARYIndependent and Fact-Based Journalistic MediaDeepfake proliferation erodes media ability to distinguish authentic from fabricated content. P4Dem inference,,,,no,,,,
114,"AI-generated malware is harder to detect. AI tools help threat actors develop sophisticated, adaptive, evasion-capable malware including ransomware and infostealers, increasing detection difficulty for defenders.","""Cybercriminals are increasingly using AI to enhance malware development, making it more adaptable and difficult to detect.""","Use AI for automated threat detection and response to counter adaptive, evasive malware.","""Organizations should integrate AI-based cybersecurity solutions to enhance threat detection, automate responses, and strengthen overall cyber defenses.""",///,///,KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA%20Report%20-%202025%20AI%20Threat%20Report.pdf,checked,2.3 PRIMARYEffective and Accountable GovernmentRansomware targeting public sector disrupts democratic administration and service delivery. P4Dem inference,1.4 SECONDARYEconomic and Social RightsRansomware and infostealers cause material harm to individuals and concentrate economic damage on victims. P4Dem inference,,,,,no,,,,
115,"Increased underground market activity lowering barriers for criminals. Dark AI tools have evolved into subscription-based AI-as-a-Service platforms, enabling inexperienced actors to execute sophisticated attacks.","""This lowers entry barriers, enabling scalable attacks like phishing, deepfakes, and fraud scams.""",Maintain intelligence sharing and proactive security posture by monitoring threat actor behaviour and emerging AI criminal tools.,"""Monitor the evolving tactics and techniques employed by cybercriminals to exploit AI tools.""",///,///,KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA%20Report%20-%202025%20AI%20Threat%20Report.pdf,checked,1.2 PRIMARYRule of Law and Access to JusticeDemocratisation of criminal tools expands the pool of actors able to undermine legal and civic systems. P4Dem inference,2.3 SECONDARYEffective and Accountable GovernmentWider attacker pool increases risk to government systems and democratic infrastructure. P4Dem inference,,,,,no,,,,
116,"AI-assisted automated cyber attacks (DDoS, credential stuffing, password cracking). AI enables optimisation of large-scale, volume-dependent attacks, increasing their potency against critical infrastructure and democratic systems.","""Any attack that relies on volume, repetition, or trial-and-error can become far more potent when guided by AI tools.""",Strengthen network resilience through AI-powered detection and autonomous response systems.,"""Organizations should integrate AI-based cybersecurity solutions to enhance threat detection, automate responses, and strengthen overall cyber defenses.""",///,///,KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA%20Report%20-%202025%20AI%20Threat%20Report.pdf,checked,2.3 PRIMARYEffective and Accountable GovernmentDDoS attacks against government and electoral infrastructure disrupt democratic processes. P4Dem inference,,"4.1 SECONDARY External Influences on the Country's Democracy Hacktivist groups (e.g. Moroccan Soldiers, p. 19) use AI-automated DDoS attacks that could target democratic infrastructure — but state-sponsorship is not established in this section; P4Dem inference.",,,,no,,,,
117,"Nation-state and criminal actors using AI for cyber operations and influence campaigns. State-sponsored APTs (Iran, China, Russia, North Korea) use public AI tools across the full attack lifecycle, including for disinformation operations.","""Recently Google reported that APT actors affiliated with Iran, China, Russia and North Korea used Gemini to support several phases of the attack lifecycle, including researching potential infrastructure, reconnaissance on target organizations, research into vulnerabilities, payload development, and assistance with malicious scripting and evasion techniques.""",Adopt cross-sector collaboration in defence and policy through AI-driven defences and stronger security measures.,"""The growing reliance on AI tools by APT actors makes it crucial to implement stronger security measures and foster awareness to mitigate potential risks.""",///,///,KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA%20Report%20-%202025%20AI%20Threat%20Report.pdf,checked,"4.1 PRIMARYExternal Influences on the Country's DemocracyState-sponsored actors use AI directly for foreign interference in democratic processes (explicitly stated, p. 20).",3.2 PRIMARYOpinion Formation and Political ParticipationRussian Doppelganger campaign used ChatGPT for influence operations targeting European/North American audiences (p. 20–21).,2.1 SECONDARYFree and Fair ElectionsChinese/North Korean operations removed by OpenAI targeted electoral audiences (p. 21). P4Dem inference,"1.3 SECONDARYCivil and Political RightsSurveillance and opinion-influence operations target individuals' freedom of expression (OpenAI removals, p. 21). P4Dem inference",,,no,,,,
118,"Rapid evolution of AI threats outpacing traditional defences. The pace of AI-powered cybercrime innovation requires a fundamental shift in defensive mindset, as conventional security measures become increasingly inadequate.","""The growing sophistication of these threats suggests that the risks associated with AI will persist and escalate in 2025, requiring more robust security solutions and ethical governance.""",///,///,///,///,KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA%20Report%20-%202025%20AI%20Threat%20Report.pdf,checked,2.3 PRIMARYEffective and Accountable GovernmentGovernments unable to keep pace with AI threats face growing vulnerability in democratic infrastructure. P4Dem inference,1.2 SECONDARYRule of Law and Access to JusticeRegulatory and enforcement lag leaves legal systems exposed to AI-enabled circumvention. P4Dem inference,,,,,no,,,,
119,AI systems can be exploited to gain unauthorised access to and exfiltrate sensitive user data,"""the other way is to try to bypass public AI systems to conduct malicious activities, such as gaining access to users' sensitive data and exfiltrating it.""",Implement AI security measures to prevent unauthorised data access and exfiltration.,"""These incidents highlight the urgent need to adopt AI security measures to prevent AI incidents and ensure secure and reliable AI usage.""",///,///,KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA%20Report%20-%202025%20AI%20Threat%20Report.pdf,checked,1.3 PRIMARYCivil and Political RightsExfiltration of personal data enables surveillance and profiling of citizens and political actors. P4Dem inference,1.2 SECONDARYRule of Law and Access to JusticeData breaches undermine legal accountability and citizens' ability to obtain redress. P4Dem inference,2.3 SECONDARYEffective and Accountable GovernmentExfiltration of government data compromises institutional integrity and public trust. P4Dem inference,,,,no,,,,
120,"AI hallucination causing harm in legal and institutional contexts. LLMs fabricate false information presented as factual, causing legal, institutional and personal harm in high-stakes settings.","""A US judge fined three attorneys for citing non-existent cases generated by an in-house AI legal tool in a lawsuit against Walmart.""",Adopt AI security measures to prevent hallucination incidents and ensure reliable AI usage.,"""These incidents highlight the urgent need to adopt AI security measures to prevent AI incidents and ensure secure and reliable AI usage.""",///,///,KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA%20Report%20-%202025%20AI%20Threat%20Report.pdf,checked,"1.2 PRIMARYRule of Law and Access to JusticeAI hallucinations in legal proceedings undermine judicial integrity and citizens' access to fair treatment (explicitly illustrated by attorney case, p. 6).",3.2 SECONDARYOpinion Formation and Political ParticipationAI-fabricated information shapes public understanding and risks to informed political participation. P4Dem inference,,,,,no,,,,
121,"AI-generated deepfake tools enable criminals to bypass Know Your Customer identity verification systems, facilitating financial fraud at scale.","""In 2024, there was a high demand and supply of deepfake tools across the cybercrime underground, allowing actors to bypass KYC, (Know Your Customer) verification used for financial fraud.""",///,///,///,///,KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA%20Report%20-%202025%20AI%20Threat%20Report.pdf,checked,1.2 SECONDARY Rule of Law and Access to Justice — AI-enabled identity fraud circumvents legal verification systems and undermines financial accountability. P4Dem inference.,1.4 SECONDARY Economic and Social Rights — Deepfake-enabled financial fraud causes direct material harm to individuals and institutions. P4Dem inference.,///,///,,,no,,,,
122,"Threat actors use AI tools to automate penetration testing and vulnerability discovery, accelerating the attack cycle and enabling exploitation before security teams can respond","""Attackers leverage AI-driven tools to automate penetration testing, uncovering vulnerabilities in security defenses that can be exploited easily. This speeds up the attack cycle and enables cybercriminals to launch an attack before security teams can respond effectively.""",///,///,///,///,KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA%20Report%20-%202025%20AI%20Threat%20Report.pdf,checked,2.3 SECONDARY Effective and Accountable Government — AI-accelerated vulnerability exploitation threatens government systems and democratic infrastructure. P4Dem inference.,4.1 SECONDARY External Influences on the Country's Democracy — State-adjacent actors exploit AI vulnerability research tools for offensive operations against democratic infrastructure (p. 20). P4Dem inference.,///,///,,,no,,,,
123,///,///,///,///,Invest in red-teaming and evaluation tools to test systems against adversarial exploitation before threat actors can leverage discovered vulnerabilities,"""Investing in testing and evaluation solutions — To tackle jailbreaks and prompt injection attacks, organizations must evaluate the performance, security, and reliability of GenAI applications.""",KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA%20Report%20-%202025%20AI%20Threat%20Report.pdf,checked,,,///,///,this seems to be very broad and cross-cutting,,no,,,,
124,"AI tools automate the querying of infostealer logs to rapidly identify high-value corporate credentials, functioning as an AI-accelerated initial access pipeline for further attacks on institutional systems","""The tool, DarkGPT, which is a jailbroken version of GPT4, is designed to perform queries on infostealer logs… This tool automates the process for threat actors, helping to identify valuable compromised services, such as corporate accounts and credentials that can be further utilized as an entry point for phishing and social engineering campaigns.""",///,///,///,///,KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA%20Report%20-%202025%20AI%20Threat%20Report.pdf,checked,2.3 SECONDARY Effective and Accountable Government — Compromise of institutional credentials via AI-accelerated log exploitation threatens the integrity of government systems and democratic administration. P4Dem inference.,"1.3 SECONDARY Civil and Political Rights — Credential theft targeting civil society actors, journalists, and political organisations threatens freedom of association and expression. P4Dem inference.",///,///,,,no,,,,
125,///,///,///,///,Monitor criminal forums and dark web channels for infostealer log distribution and credential exposure through active intelligence platforms,"""Monitor the evolving tactics and techniques employed by cybercriminals to exploit AI tools.""",KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA%20Report%20-%202025%20AI%20Threat%20Report.pdf,checked,,,///,///,this seems to be very broad and cross-cutting,,no,,,,
126,///,///,///,///,"Deploying AI-based cybersecurity tools for real-time threat detection, predictive analytics, and autonomous response offers democratic institutions a means to keep pace with AI-powered attacks on their infrastructure","""In this new AI era, organizations must combat AI with advanced AI tools — deploying advanced LLM agents for real-time threat detection, predictive analytics to anticipate attacks, and autonomous response systems to neutralize threats before they escalate.""",KELA Cyber Intelligence (2025). 2025 AI Threat Report. March 2025. Available at: https://info.ke-la.com/hubfs/Reports/KELA%20Report%20-%202025%20AI%20Threat%20Report.pdf,checked,2.3 PRIMARY Effective and Accountable Government — AI-powered defence tools enable governments to protect democratic infrastructure against AI-enhanced attacks. P4Dem inference.,4.1 SECONDARY External Influences on the Country's Democracy — Defensive AI capabilities reduce the asymmetric advantage of state-sponsored attackers targeting democratic institutions. P4Dem inference.,///,///,,,no,,,,
127,AI voice clones and deepfakes are used by scammers to impersonate trusted individuals and trick victims into transferring money or sharing sensitive credentials,"""scammers use AI tools to generate voice clones or deepfakes to trick victims into transferring money (289, 290). Documented incidents include executives authorising transfers of millions to fraudsters, as well as ordinary people sending smaller amounts to impostors posing as a loved one.""",///,///,///,///,"Bengio, Y. (Chair) et al. (2026). International AI Safety Report 2026. Department for Science, Innovation and Technology (DSIT), UK Government. February 2026. Available at: International AI Safety Report 2026 | International AI Safety Report. https://internationalaisafetyreport.org/sites/default/files/2026-02/international-ai-safety-report-2026_1.pdf","checked

FLAG (2026-05-19): double-check page citation — SID 146 was found at pp. 96–97 in the original report (cited as p.98). Bengio entries should be re-verified against the original PDF before publication.",1.2 PRIMARY Rule of Law and Access to Justice — AI-enabled impersonation fraud circumvents identity verification systems and undermines legal accountability. P4Dem inference,"1.4 SECONDARY Economic and Social Rights — Financial fraud causes direct material harm to individuals; lowered barriers mean attacks scale to ordinary people, not just executives (p. 46). P4Dem inference",,,,,no,,,,
128,///,///,///,///,Watermarking and content provenance logs to verify authenticity of audio and video,"""Watermarking involves embedding a machine-readable digital signature into the content during creation, allowing for automated traceable verification of its origin and authenticity""","Bengio, Y. (Chair) et al. (2026). International AI Safety Report 2026. Department for Science, Innovation and Technology (DSIT), UK Government. February 2026. Available at: International AI Safety Report 2026 | International AI Safety Report. https://internationalaisafetyreport.org/sites/default/files/2026-02/international-ai-safety-report-2026_1.pdf","checked

FLAG (2026-05-19): double-check page citation — SID 146 was found at pp. 96–97 in the original report (cited as p.98). Bengio entries should be re-verified against the original PDF before publication.","3.1 Independent and Fact-Based Journalistic Media (PRIMARY) — Watermarking and provenance tools directly support the ability of journalists and media organisations to verify the authenticity of content they receive and publish. The source's discussion of detecting AI-generated images, audio, and video maps most naturally onto the conditions under which professional journalism operates. ","3.2 Opinion Formation and Political Participation (Primary) — To the extent watermarking helps citizens identify AI-generated content, it supports the epistemic conditions for genuine opinion formation. The source frames the consumer-facing purpose as helping users ""identify that content is AI-generated."" P4Dem inference.","2.1 Free and Fair Elections (SECONDARY) — Detection of deepfakes and synthetic content in electoral contexts is a direct application discussed elsewhere in the same report (and in the Carnegie source for the broader election row). However, the watermarking passage itself does not mention elections. P4Dem inference; flag as secondary.",,,,no,,,,
